Date,mom_21d_NSE_zscore,vol_21d_avg_zscore,VIX_zscore,corr_NSE_IEF_21d_zscore,state,prob_state_0,prob_state_1,prob_state_2,max_prob,regime
2021-12-15,-0.2163381136109191,-0.2537193761638378,0.1921134694714248,-0.6680765306138079,2,1.087133216015809e-19,7.303800348477273e-06,0.999992696200322,0.999992696200322,Bear
2021-12-16,-0.039274107098773,-0.2195171947221961,0.353557794800288,-0.8551133736281333,2,1.3480210868751175e-24,1.385945134909657e-05,0.9999861405482083,0.9999861405482083,Bear
2021-12-17,-0.5594438888157421,-0.2035442615624544,0.4796309108324798,-1.2014933155714702,2,7.371381755334016e-25,1.9980514855345906e-05,0.999980019485044,0.999980019485044,Bear
2021-12-20,-0.974532597081481,-0.0969863771832848,0.6435207859444619,-0.88290686257014,2,6.153492130238996e-20,1.7946483869132516e-05,0.9999820535168196,0.9999820535168196,Bear
2021-12-21,-0.6874006851173246,-0.0786076981486139,0.4084027029587723,-1.124903519592919,2,6.0299756890239905e-21,1.671044648257193e-05,0.99998328955327,0.99998328955327,Bear
2021-12-22,-0.3808199453677803,-0.0550363975109626,0.1076348021944519,-0.9731681980302508,2,2.378514579542063e-18,1.2193431086890658e-05,0.9999878065680043,0.9999878065680043,Bear
2021-12-23,-0.1142133792047607,-0.0546714741251741,0.0229399209635322,-1.02757188698295,2,4.039598018169827e-20,1.460891777845457e-05,0.9999853910824916,0.9999853910824916,Bear
2021-12-28,-0.047583488877617,-0.0856031402467623,-0.0301549673570777,-0.9629820692401536,2,8.703928341257414e-20,1.3360627675946957e-05,0.9999866393719783,0.9999866393719783,Bear
2021-12-29,0.0249984841743695,-0.0791093176188724,-0.1047446582504058,-0.771606215077231,2,8.209168634278016e-18,1.1350335706809405e-05,0.9999886496651249,0.9999886496651249,Bear
2021-12-30,-0.0153145909368097,-0.055213202913105,-0.0566474540663127,-0.758891964969114,2,1.2195137069613802e-17,1.1274967868077604e-05,0.9999887250322792,0.9999887250322792,Bear
2021-12-31,0.2228230898496801,-0.0887353679299219,-0.0705464188367464,-0.7168785462186138,2,2.448815510435588e-19,1.3742599533830084e-05,0.9999862574002939,0.9999862574002939,Bear
2022-01-03,0.3112704692454711,0.1117328753035837,-0.148991919713023,-1.326016387594298,2,8.843171335414176e-24,4.804758597627058e-05,0.9999519524146223,0.9999519524146223,Bear
2022-01-04,0.2472243299957681,0.0933476697303762,-0.1096954806531724,-1.2518527961771408,2,6.518865513421722e-23,4.276747385390014e-05,0.9999572325264701,0.9999572325264701,Bear
2022-01-05,0.5915843295767179,0.0114134435424551,0.2474758182525545,-0.9914074551959128,2,3.5068323472838656e-28,4.5155960096114424e-05,0.9999548440400934,0.9999548440400934,Bear
2022-01-06,0.7142117736776951,0.0091116445125052,0.2321890557015895,-1.4606068682929592,2,3.923535869058767e-35,7.913928049403811e-05,0.9999208607199002,0.9999208607199002,Bear
2022-01-07,0.4956530839624253,-0.0383182070797792,0.1243976718886617,-1.3320858765969097,2,3.0699029766860997e-30,4.8399248691750985e-05,0.9999516007518082,0.9999516007518082,Bear
2022-01-10,0.3789813560629191,-0.081871084465082,0.2054834433863198,-1.1336225370728972,2,3.59981207861001e-28,3.1596341376621016e-05,0.9999684036582481,0.9999684036582481,Bear
2022-01-11,0.3828635686675489,-0.0522988625684851,0.0798805277327812,-1.1317272217133156,2,2.4325580225617278e-26,2.9575620478856467e-05,0.9999704243790715,0.9999704243790715,Bear
2022-01-12,0.5490157791924783,-0.043253999863459,-0.0203529057118623,-1.0397818156705048,2,1.077371339639135e-25,3.3700249927089806e-05,0.99996629974919,0.99996629974919,Bear
2022-01-13,0.7474528810270087,-0.0809137398586534,0.3209671038723426,-0.684384323656854,2,2.422984414950532e-28,4.786592092985446e-05,0.9999521340792955,0.9999521340792955,Bear
2022-01-14,0.7914082160337155,-0.0927637296474651,0.1787069060247647,-0.5242094330406261,2,2.3574347248370946e-25,0.00018723802380278258,0.9998127619763073,0.9998127619763073,Bear
2022-01-19,0.7223069028303524,0.0116007226817555,0.7701499189455537,-0.7838939636746916,2,8.290196115509942e-35,0.002362746345153313,0.9976372536542087,0.9976372536542087,Bear
2022-01-20,0.5039474584546056,0.0126543029059707,0.9905298332677458,-0.9956897916894024,2,9.904010771269049e-39,0.011763184949874763,0.9882368150497022,0.9882368150497022,Bear
2022-01-21,0.6426108033378415,-0.0141419570718376,1.403268900119382,-1.036258896061986,2,2.733097216533954e-49,0.03634410950546073,0.9636558904939307,0.9636558904939307,Bear
2022-01-24,0.552279534774408,0.0542015483166267,1.534927669023782,-0.9377852169475016,2,9.796673151027756e-49,0.04538154892574927,0.9546184510737463,0.9546184510737463,Bear
2022-01-25,0.5167257068976217,0.0402048840587323,1.6927312221598687,-0.8424943317499863,2,7.536915395756204e-51,0.04457473079995792,0.9554252691997418,0.9554252691997418,Bear
2022-01-28,0.3039272081290237,0.0036834744033455,1.2477246957465442,-0.9939971840467324,2,1.9136479006871463e-41,0.021241795392372247,0.9787582046075723,0.9787582046075723,Bear
