Date,regime
2020-05-18,Crisis
2020-05-19,Crisis
2020-05-20,Crisis
2020-05-21,Crisis
2020-05-22,Crisis
2020-05-26,Crisis
2020-05-27,Crisis
2020-05-28,Crisis
2020-05-29,Crisis
2020-06-01,Crisis
2020-06-02,Crisis
2020-06-03,Crisis
2020-06-04,Crisis
2020-06-05,Crisis
2020-06-08,Crisis
2020-06-09,Crisis
2020-06-10,Crisis
2020-06-11,Crisis
2020-06-12,Crisis
2020-06-15,Crisis
2020-06-16,Crisis
2020-06-17,Crisis
2020-06-18,Crisis
2020-06-19,Crisis
2020-06-22,Crisis
2020-06-23,Crisis
2020-06-24,Crisis
2020-06-25,Crisis
2020-06-26,Crisis
2020-06-29,Crisis
2020-06-30,Crisis
2020-07-01,Crisis
2020-07-02,Crisis
2020-07-07,Crisis
2020-07-08,Crisis
2020-07-09,Crisis
2020-07-10,Crisis
2020-07-13,Crisis
2020-07-14,Crisis
2020-07-15,Crisis
2020-07-16,Crisis
2020-07-17,Crisis
2020-07-20,Crisis
2020-07-21,Crisis
2020-07-22,Crisis
2020-07-23,Crisis
2020-07-24,Crisis
2020-07-27,Crisis
2020-07-28,Bear
2020-07-29,Bear
2020-07-30,Bear
2020-07-31,Bear
2020-08-03,Bear
2020-08-04,Bear
2020-08-05,Bear
2020-08-06,Bear
2020-08-07,Bear
2020-08-10,Bear
2020-08-11,Bear
2020-08-12,Bear
2020-08-13,Bear
2020-08-14,Bear
2020-08-17,Bear
2020-08-18,Bear
2020-08-19,Bear
2020-08-20,Bear
2020-08-21,Bear
2020-08-24,Bear
2020-08-25,Bear
2020-08-26,Bear
2020-08-27,Bear
2020-08-28,Bear
2020-08-31,Bear
2020-09-01,Bear
2020-09-02,Bear
2020-09-03,Bear
2020-09-04,Crisis
2020-09-09,Crisis
2020-09-10,Crisis
2020-09-11,Crisis
2020-09-14,Crisis
2020-09-15,Crisis
2020-09-16,Crisis
2020-09-17,Bear
2020-09-18,Bear
2020-09-21,Bear
2020-09-22,Bear
2020-09-23,Bear
2020-09-24,Bear
2020-09-25,Bear
2020-09-28,Bear
2020-09-29,Bear
2020-09-30,Bear
2020-10-01,Bear
2020-10-06,Bear
2020-10-07,Bear
2020-10-08,Bear
2020-10-09,Bear
2020-10-12,Bear
2020-10-13,Bear
2020-10-14,Bear
2020-10-15,Bear
2020-10-16,Bear
2020-10-19,Bear
2020-10-20,Bear
2020-10-21,Bear
2020-10-22,Bear
2020-10-23,Bear
2020-10-26,Bear
2020-10-27,Bear
2020-10-28,Bear
2020-10-29,Bear
2020-10-30,Crisis
2020-11-02,Crisis
2020-11-03,Crisis
2020-11-04,Crisis
2020-11-05,Crisis
2020-11-06,Crisis
2020-11-09,Crisis
2020-11-10,Bear
2020-11-11,Bear
2020-11-12,Bear
2020-11-13,Bear
2020-11-18,Bear
2020-11-19,Bear
2020-11-20,Bear
2020-11-23,Bear
2020-11-24,Bear
2020-11-25,Bear
2020-12-02,Bear
2020-12-03,Bear
2020-12-04,Bear
2020-12-07,Bear
2020-12-08,Bear
2020-12-09,Bear
2020-12-10,Bear
2020-12-11,Bear
2020-12-14,Bear
2020-12-15,Bear
2020-12-16,Bear
2020-12-17,Bear
2020-12-18,Bear
2020-12-21,Bear
2020-12-22,Bear
2020-12-23,Bear
2020-12-24,Bear
2020-12-28,Bear
2020-12-29,Bear
2020-12-30,Bear
2020-12-31,Bear
2021-01-05,Bear
2021-01-06,Bear
2021-01-07,Bear
2021-01-08,Bear
2021-01-11,Bear
2021-01-12,Bear
2021-01-13,Bear
2021-01-14,Bear
2021-01-15,Bear
2021-01-20,Bear
2021-01-21,Bear
2021-01-22,Bear
2021-01-25,Bear
2021-01-28,Bear
2021-01-29,Bear
2021-02-01,Bear
2021-02-02,Bear
2021-02-03,Bear
2021-02-04,Bear
2021-02-05,Bear
2021-02-08,Bear
2021-02-09,Bear
2021-02-10,Bear
2021-02-11,Bear
2021-02-12,Bear
2021-02-17,Bear
2021-02-18,Bear
2021-02-19,Bear
2021-02-22,Bear
2021-02-23,Bear
2021-02-24,Bear
2021-02-25,Bear
2021-02-26,Bear
2021-03-01,Bear
2021-03-02,Bear
2021-03-03,Bear
2021-03-04,Bear
2021-03-05,Bear
2021-03-08,Bear
2021-03-09,Bear
2021-03-10,Bear
2021-03-15,Bear
2021-03-16,Bear
2021-03-17,Bear
2021-03-18,Bear
2021-03-19,Bear
2021-03-22,Bear
2021-03-23,Bear
2021-03-24,Bear
2021-03-25,Bear
2021-03-26,Bear
2021-03-31,Bear
2021-04-01,Bear
2021-04-05,Bear
2021-04-06,Bear
2021-04-07,Bear
2021-04-08,Bear
2021-04-09,Bear
2021-04-12,Bear
2021-04-13,Bear
2021-04-16,Bear
2021-04-19,Bear
2021-04-20,Bear
2021-04-23,Bear
2021-04-26,Bear
2021-04-27,Bear
2021-04-28,Bear
2021-04-29,Bear
2021-04-30,Bear
2021-05-03,Bear
2021-05-04,Bear
2021-05-05,Bear
2021-05-06,Bear
2021-05-07,Bear
2021-05-10,Bear
